"Quarter","AdSet","Ad","Vendor","Start_Date","End_Date","Cost","Clicks","Impressions","Bounces","Sessions","UPV","Views","Completions","Step1","ClickRatePct","BounceRatePct","ViewRate","VTR","ClickableCompletions","ClickableCompRate","Swipes","SwipeUpRatePct","Opens","CTOR","Sends","LIOpens","OpenRate","Engagements","Results","EngagementRate","EngRate","Avg_RR","Av_TOP"
"FY20Q3","FA21_DC_WA_DBM_DISP_IG","WA_DBM_DISP","DBM_DISP",2020-02-26,2020-04-06,4793.2,654,701459,771,1036,1075,0,0,22.953316953317,0.09,74.42,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:25
"FY20Q3","FA21_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID",2020-02-26,2020-04-06,360.37,640,45053,360,406,427,26751,4097,130.135802469136,1.42,88.67,59.38,9.09,0,Inf,0,0,476,74.38,0,476,Inf,12737,0,28.27,Inf,0,00:02:10
"FY20Q3","FA21_DC_WA_GM_TEXT_IG","WA_GM_TEXT","GM_TEXT",2020-02-28,2020-04-06,1675.91,3692,31107,39,67,129,0,0,86.8375,11.87,58.21,0,0,0,Inf,0,0,63,1.71,0,63,Inf,0,0,0,Inf,0,00:01:25
"FY20Q3","FA21_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID",2020-02-26,2020-04-06,0.89,0,220,12,12,12,196,5,0,0,100,89.09,2.27,0,NA,0,0,0,NA,0,0,NA,20,0,9.09,Inf,0,00:00:00
"FY20Q3","FA21_DC_WA_LI_TEXT_IG","WA_LI_TEXT","LI_TEXT",2020-02-27,2020-04-06,1002.04,2493,3668,20,38,95,0,0,58.0869565217391,67.97,52.63,0,0,0,Inf,0,0,1,0.04,4951,1,0.02,1707,0,46.54,34.5,0,00:01:00
"FY20Q4","FA20_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2019-08-13,2020-04-06,355.68,734,204942,372,416,439,0,0,121.416666666667,0.36,89.42,0,0,0,Inf,0,0,725,98.77,0,725,Inf,726,0,0.35,Inf,0,00:02:00
"FY20Q4","FA20_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2019-08-13,2020-04-06,0.09,0,36,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,0,00:00:00
"FY20Q4","FA21_DC_WA_DBM_DISP_IG","WA_DBM_DISP","DBM_DISP",2020-02-26,2020-04-06,869.76,96,127755,121,162,166,0,0,69.9833333333333,0.08,74.69,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:01:10
"FY20Q4","FA21_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID",2020-02-26,2020-04-06,54.96,108,7216,63,69,69,5101,773,13.5172413793103,1.5,91.3,70.69,10.71,0,Inf,0,0,90,83.33,0,90,Inf,2234,0,30.96,Inf,0,00:00:15
"FY20Q4","FA21_DC_WA_GM_TEXT_IG","WA_GM_TEXT","GM_TEXT",2020-02-28,2020-04-06,346.4,1463,10415,15,27,58,0,0,68.6744186046512,14.05,55.56,0,0,0,Inf,0,0,22,1.5,0,22,Inf,0,0,0,Inf,0,00:01:10
"FY20Q4","FA21_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID",2020-02-26,2020-04-06,0.19,0,71,1,1,1,62,1,0,0,100,87.32,1.41,0,NA,0,0,0,NA,0,0,NA,2,0,2.82,Inf,0,00:00:00
"FY20Q4","FA21_DC_WA_LI_TEXT_IG","WA_LI_TEXT","LI_TEXT",2020-02-27,2020-04-06,222.49,441,1108,9,13,29,0,0,55.55,39.8,69.23,0,0,0,Inf,0,0,0,0,1108,0,0,458,0,41.34,41.34,0,00:00:55
